CODE,DESCRIPTION
MNL,MANILA (NCR)
BUO,BAGUIO
LAO,LAOAG
VIG,VIGAN
LAU,LA UNION
ALM,"ALAMINOS, PANGASINAN"
URD,URDANETA
DAG,DAGUPAN
TUG,TUGUEGARAO
CYN,"CAUAYAN, ISABELA"
STG,"SANTIAGO, ISABELA"
BTN,BATAAN
BUL,BULACAN
NVE,CABANATUAN
GPN,GAPAN
PGA,PAMPANGA
TRC,TARLAC
OGP,ZAMBALES
BAT,BATANGAS
DAS,CAVITE
SRA,LAGUNA
LUC,QUEZON
RZL,RIZAL
COM,CALAPAN
SJI,SAN JOSE
PIN,PINAMALAYAN
PPS,PALAWAN
ROM,ROMBLON
LGP,"LEGASPI, ALBAY"
DTE,DAET
WNP,NAGA
SOR,SORSOGON
KLO,"KALIBO, AKLAN"
ANT,ANTIQUE
RXS,ROXAS CITY
ILO,ILOILO
BAC,BACOLOD
TAG,TAGBILARAN
CEB,CEBU CITY
DGT,DUMAGUETE
SIQ,SIQUIJOR
TAC,TACLOBAN
CYP,CALBAYOG
IGN,ILIGAN
ZAM,ZAMBOANGA
OZC,OZAMIS
DPL,DIPOLOG
PAG,PAGADIAN
SUG,SURIGAO
BXU,BUTUAN
CBR,CABADBARAN
NAS,NASIPIT
BXU,BUTUAN
MMG,MARAMAG
MAY,MALAYBALAY
VAL,VALENCIA
CGY,CAGAYAN DE ORO
PAB,PANABO
DVO,DAVAO
TGM,TAGUM
DGO,DIGOS
CBO,COTABATO
GSS,GENERAL SANTOS
MRW,MARAWI
